型,中央の文字,大学名,フォント,文字の向き,東の字の位置,地紋の向き,鉄管挿入孔用矩形部,直径方向の地紋のセル数,ハンドル穴の数,ハンドル穴の位置,ハンドル穴の向き,ハンドル穴の枠,マンホール番号,その他
A,暗渠,東京帝國大學,ゴシック,外向き,上,0度,なし,16,2,3時、9時,長軸がほぼ直径方向（少しズレ）,なし,1、3、4、5、37、38、39、40、41、45,
B,暗渠,東京帝國大學,ゴシック,外向き,上,0度,なし,16,2,3時、9時,長軸がほぼ直径方向（少しズレ）,なし,2、6、23、24、30、(36)、43,A1は完全にゴシック体だが、A2は大の字にうったてや払いがある
C,暗渠,東京帝國大學,ゴシック,外向き,下,0度,なし,16,2,3時、9時,長軸がほぼ直径方向（少しズレ）,なし,29,
D,暗渠,東京帝國大學,ゴシック,外向き,上,0度,なし,18,2,3時、9時,長軸が円周方向,なし,25,余分な地紋が両端にほんの少しだけ見える
E,暗渠,東京帝國大學,ゴシック,外向き,上,0度,なし,16,2,3時、9時,長軸が円周方向（穴が大きい）,なし,22,
F,暗渠,東京帝國大學,筆,上向き,上,0度,なし,14,2,0時、6時,長軸が直径方向,あり,7、8、9、10、11、12,
G,暗渠,東京帝國大學,ゴシック,外向き,上,45度,なし,16,2,5時、11時,長軸がほぼ直径方向（少しズレ）,なし,13,
H,暗,東京帝國大學,筆,外向き,上,0度,なし,16,2,3時、9時,長軸がほぼ直径方向（少しズレ）,なし,(14)、20、21,
I,暗,東京帝国大學,筆,外向き,上,0度,あり,16,2,2時半、8時半,長軸が直径方向,なし,15、16、18、19,
J,暗,東京帝国大學,筆,外向き,上,0度,なし,16,2,2時半、8時半,長軸が直径方向,なし,17、44,
K,暗,東京帝國大學,筆,外向き,上,0度,なし,15,2,0時、6時,長軸が直径方向,なし,26、27、28、42,
L,暗,東京帝國大學,筆,上向き,上,0度,なし,16,2,3時半、9時半,長軸が円周方向,なし,31、32、33,
M,暗,東京帝國大學,筆,上向き,上,45度,なし,19,4,1時半、4時半、7時半、10時半,長軸が円周方向,なし,34、35,余分な地紋が両端にほんの少しだけ見える